"Title","Review"
"Just wow!","This Is My Second Low Budget Mi Phone. First One Was 5A. I'm In Love With This Brand. Let's Talk About This One...Design : Awesome (Green Is Killer, Red Is Also Super.)Battery : Awesome. (2 Days Backup For Normal Users, 1 Day For Heavy Users.)Camera : Good. (Not Bad At All, It's Fine.)Display : Good. (Use Auto Brightness In Outdoor.)Heating Problem : Fine. (Still No Problem.)Sound : Awesome. (Loud And Clear.)Charging : Fine. (Takes Time To Charge 5000mah With 10w Charger As Usual. You..."
"Just wow!","I am spellbound after seeing this.What a value of money ... love you MI  ...and also the package delivery service and packing was quite good ."
"Awesome","Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommend"
"Highly recommended","it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone "
"Great product","Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G Ram"
"Excellent","Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5"
"Simply awesome","Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it."
"Highly recommended","Wow great phone camera is super and battery is very good I am so happy this phone"
"Wonderful","good phone and battery ,camera good ... processor is good but according to money not goodand display  is also good but according to money it is not good. all over a good phone."
"Awesome","Overall, the screen of the Redmi 8 is pretty good considering its a sub-Rs 10,000 price phone. Besides being a bright screen it is also bigger compared to what we saw in earlier comparable Redmi phones. The Redmi 8 comes with a 6.22-inch HD+ IPS display. It has screen resolution of 1520x720 pixels.Battery backup is not good like 5000 mh battery backup but not good.Otherwise mobile is very good and fabulous and value of money comparison other handset is too good."
"Just wow!","This Is My Second Low Budget Mi Phone. First One Was 5A. I'm In Love With This Brand. Let's Talk About This One...Design : Awesome (Green Is Killer, Red Is Also Super.)Battery : Awesome. (2 Days Backup For Normal Users, 1 Day For Heavy Users.)Camera : Good. (Not Bad At All, It's Fine.)Display : Good. (Use Auto Brightness In Outdoor.)Heating Problem : Fine. (Still No Problem.)Sound : Awesome. (Loud And Clear.)Charging : Fine. (Takes Time To Charge 5000mah With 10w Charger As Usual. You..."
"Just wow!","I am spellbound after seeing this.What a value of money ... love you MI  ...and also the package delivery service and packing was quite good ."
"Awesome","Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommend"
"Highly recommended","it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone "
"Great product","Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G Ram"
"Excellent","Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5"
"Simply awesome","Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it."
"Highly recommended","Wow great phone camera is super and battery is very good I am so happy this phone"
"Wonderful","good phone and battery ,camera good ... processor is good but according to money not goodand display  is also good but according to money it is not good. all over a good phone."
"Awesome","Overall, the screen of the Redmi 8 is pretty good considering its a sub-Rs 10,000 price phone. Besides being a bright screen it is also bigger compared to what we saw in earlier comparable Redmi phones. The Redmi 8 comes with a 6.22-inch HD+ IPS display. It has screen resolution of 1520x720 pixels.Battery backup is not good like 5000 mh battery backup but not good.Otherwise mobile is very good and fabulous and value of money comparison other handset is too good."
"Just wow!","This Is My Second Low Budget Mi Phone. First One Was 5A. I'm In Love With This Brand. Let's Talk About This One...Design : Awesome (Green Is Killer, Red Is Also Super.)Battery : Awesome. (2 Days Backup For Normal Users, 1 Day For Heavy Users.)Camera : Good. (Not Bad At All, It's Fine.)Display : Good. (Use Auto Brightness In Outdoor.)Heating Problem : Fine. (Still No Problem.)Sound : Awesome. (Loud And Clear.)Charging : Fine. (Takes Time To Charge 5000mah With 10w Charger As Usual. You..."
"Awesome","Overall, the screen of the Redmi 8 is pretty good considering its a sub-Rs 10,000 price phone. Besides being a bright screen it is also bigger compared to what we saw in earlier comparable Redmi phones. The Redmi 8 comes with a 6.22-inch HD+ IPS display. It has screen resolution of 1520x720 pixels.Battery backup is not good like 5000 mh battery backup but not good.Otherwise mobile is very good and fabulous and value of money comparison other handset is too good."
"Just wow!","I am spellbound after seeing this.What a value of money ... love you MI  ...and also the package delivery service and packing was quite good ."
"Terrific","Awesome mobile. I've purchased it for my Mom... She is very happy with this SURPRISE... Guys don't take any Option and make it as a Selection... Wonderful Mobile "
"Awesome","Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommend"
"Highly recommended","it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone "
"Good choice","Nice phone, Good battery life, amazing design... camera should have been better... not really satisfied with the camera quality "
"Great product","Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G Ram"
"Excellent","Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5"
"Simply awesome","Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it."
"Just wow!","This Is My Second Low Budget Mi Phone. First One Was 5A. I'm In Love With This Brand. Let's Talk About This One...Design : Awesome (Green Is Killer, Red Is Also Super.)Battery : Awesome. (2 Days Backup For Normal Users, 1 Day For Heavy Users.)Camera : Good. (Not Bad At All, It's Fine.)Display : Good. (Use Auto Brightness In Outdoor.)Heating Problem : Fine. (Still No Problem.)Sound : Awesome. (Loud And Clear.)Charging : Fine. (Takes Time To Charge 5000mah With 10w Charger As Usual. You..."
"Awesome","Overall, the screen of the Redmi 8 is pretty good considering its a sub-Rs 10,000 price phone. Besides being a bright screen it is also bigger compared to what we saw in earlier comparable Redmi phones. The Redmi 8 comes with a 6.22-inch HD+ IPS display. It has screen resolution of 1520x720 pixels.Battery backup is not good like 5000 mh battery backup but not good.Otherwise mobile is very good and fabulous and value of money comparison other handset is too good."
"Just wow!","I am spellbound after seeing this.What a value of money ... love you MI  ...and also the package delivery service and packing was quite good ."
"Terrific","Awesome mobile. I've purchased it for my Mom... She is very happy with this SURPRISE... Guys don't take any Option and make it as a Selection... Wonderful Mobile "
"Awesome","Very good phone...nice display and  long battery life ,, good camera, 4gb Ram, large storage... decent price... highly recommend"
"Highly recommended","it was a very smoothly phone works and also it has a light weight,thin that you are very easily use for the daily life.important thing is that Sapparine blue colour just love it...whenever you'll see it...thank you very much flipkart for only in maximum 30 hours fast delivery...i think my opinion is redmi 8 value for money phone "
"Good choice","Nice phone, Good battery life, amazing design... camera should have been better... not really satisfied with the camera quality "
"Great product","Redmi 7 In Good Phone in Good processor in Good 64Gb In Good 4G Ram"
"Excellent","Stunning look 5camera good 4Battery powerful performance 5Android pie 5Display awesome 5 Value for money 5"
"Simply awesome","Awesom product. From my point of view, redmi 8 is the only must buy mobile phone for moderate budget people. The battery, display, and ram & rom performs well. The speaker has huge & crystal clear voice, and the look is so hot & attractive that this phone dominates in front of other high budget phones.As such all color varients are better, but I own the Emerald green varient which is the best, awesome & appreciated & praised by all, whoever see it."
"Worth every penny","Well its an awesome phone, the battery life is just amazing,its got an awesome display as well as performance,the camera quality is good enough.It is a great product at this price"
"Just okay","this is a genuine review 1_camera- this phone camera is ok dont expect too much from the camera but in this buget it can still give u good pictures.2_performance-i think performance it handle daily task easily bht cannot handle heavy games like pubg bht it can run pubg lite smoothly, also functiong is good3-battery- battery backup is good ,it can easily give u 2 days battery backup easily 4-display-display is good but not to much resposive sometime its lags and there is littlr bit of g..."
"Nice","I bought it for a family member, quite not happy with the product , it supports dual sim and all but the camera quality is not appropriate honestly , battery back is good though , but isnt it obvious as it is an MI device."
"Fabulous!","Osm mobile phone for this price Rs."
"Fabulous!","It was awesome experience Delivery agent was good...!"
"Worth the money","Nice product!! Paisa wasul"
"Simply awesome","Nice mobile good processing system and good price"
"Worth every penny","Mobile is nice but i thing company provided the back cover in mobile box"
"Terrific purchase","Awesome phone..good purchase....camera quality is also so much good...app running is also good... satisfied with this product "
"Fair","Functions are so good but phone is so heavy and it slip from hand easily so this is the drawbackMi said that it the aura grip design so that a grip forms between phone and hand but it's not true ."
"Worth every penny","amazing ..I like so much .and very nice color and look .camera is  also very clear"
"Excellent","Camera Super quality camera Battery 4000,MAH  battery  % works good PerformanceSuper fast performance mobile Redmi Note 8DisplayDisplay are awesome Sound Sound are very very good and very loud speaker in this mobile GamesEvery game can play in high graphicsMi remote Mi remote also have in this mobile I love it this Redmi mobileTotally value for money this mobile"
"Good product with overall good experience.","Very Nice Looking, Speed is nice, battery quality also superb.No heating issue so far as read from other reviews.I am super happy with the product, and packing is good and delivered by EKart of Flipkart so seems secure to me."
"Excellent","OMG its a Great phone at this price range and camera its superb both front and back camera is good and also good at low light performance..."
"Pretty good","very nice and avarage performance product. Daily use and PUBG gaming or other games is best quality/no lage on mobile. Display clarity is good.Camara clarity is avarage only.Thank you flipkart."
"Just okay","Awsome phone at this price. (6gb+128gb) versionPros, Phone speed - runs smoothly with a 6gb ram,Camera quality is good, face lock and fingerprint sensor works fastBattery - backup is good, last longer one day,Fast charging 18wGaming - PUBG runs smoothly no lagging at all. Overall good performanceCons, Didn't find muchIn PUBG gets little bit heat in high graphics, of course every phone does in a high frames."
"Super!","This phone is very nice. Now, it's price is very good but when I bought this phone it's price was little bit more But this phone is very very nice in this price. I suggest you to buy this phone I will give this 4.9999 (that is 5 ) out of 5."
"Nice product","Everything is good in this phone except the camera. Camera somewhere disappoints, as i am using oneplus 6 in comparison to that it disappoints. Except camera everything is as good as oneplus or iphone. Good job Xiaomi."
"Terrific purchase","Mobile is excellent and mobile look is awesome and this mobile i am using last 9 months overall mobile is good features are good and thanks to flipkart"
"Terrific purchase","Being a user of redmi note 8 , I humbly suggest all folks with an intention to reveal the secrets of redmi not 8. I m so impressed with the sound system and the camera etc, but I highly recommend that the phone is not the very best for playing games such as pubg and cod  etc. It normally working fine and the best  value for money."
"Worth every penny","amazing ..I like so much .and very nice color and look .camera is  also very clear"
"Excellent","Camera Super quality camera Battery 4000,MAH  battery  % works good PerformanceSuper fast performance mobile Redmi Note 8DisplayDisplay are awesome Sound Sound are very very good and very loud speaker in this mobile GamesEvery game can play in high graphicsMi remote Mi remote also have in this mobile I love it this Redmi mobileTotally value for money this mobile"
"Good product with overall good experience.","Very Nice Looking, Speed is nice, battery quality also superb.No heating issue so far as read from other reviews.I am super happy with the product, and packing is good and delivered by EKart of Flipkart so seems secure to me."
"Excellent","OMG its a Great phone at this price range and camera its superb both front and back camera is good and also good at low light performance..."
"Pretty good","very nice and avarage performance product. Daily use and PUBG gaming or other games is best quality/no lage on mobile. Display clarity is good.Camara clarity is avarage only.Thank you flipkart."
"Just okay","Awsome phone at this price. (6gb+128gb) versionPros, Phone speed - runs smoothly with a 6gb ram,Camera quality is good, face lock and fingerprint sensor works fastBattery - backup is good, last longer one day,Fast charging 18wGaming - PUBG runs smoothly no lagging at all. Overall good performanceCons, Didn't find muchIn PUBG gets little bit heat in high graphics, of course every phone does in a high frames."
"Super!","This phone is very nice. Now, it's price is very good but when I bought this phone it's price was little bit more But this phone is very very nice in this price. I suggest you to buy this phone I will give this 4.9999 (that is 5 ) out of 5."
"Nice product","Everything is good in this phone except the camera. Camera somewhere disappoints, as i am using oneplus 6 in comparison to that it disappoints. Except camera everything is as good as oneplus or iphone. Good job Xiaomi."
"Terrific purchase","Mobile is excellent and mobile look is awesome and this mobile i am using last 9 months overall mobile is good features are good and thanks to flipkart"
"Terrific purchase","Being a user of redmi note 8 , I humbly suggest all folks with an intention to reveal the secrets of redmi not 8. I m so impressed with the sound system and the camera etc, but I highly recommend that the phone is not the very best for playing games such as pubg and cod  etc. It normally working fine and the best  value for money."
"Just wow!","phone is good but over priced"
"Best in the market!","Nice phone"
"Brilliant","I love it. best camera"
"Fabulous!","LovelyI love it.."
"Terrific purchase","what a nice mobile in this budget...... just superb. great clarity of camera...."
"Mind-blowing purchase","For me it very veey nice"
"Just wow!","very nice mobile phone"
"Value-for-money","Good"
"Terrific","nice mob"
"Mind-blowing purchase","mindblowing"
"Worth every penny","amazing ..I like so much .and very nice color and look .camera is  also very clear"
"Excellent","Camera Super quality camera Battery 4000,MAH  battery  % works good PerformanceSuper fast performance mobile Redmi Note 8DisplayDisplay are awesome Sound Sound are very very good and very loud speaker in this mobile GamesEvery game can play in high graphicsMi remote Mi remote also have in this mobile I love it this Redmi mobileTotally value for money this mobile"
"Good product with overall good experience.","Very Nice Looking, Speed is nice, battery quality also superb.No heating issue so far as read from other reviews.I am super happy with the product, and packing is good and delivered by EKart of Flipkart so seems secure to me."
"Excellent","OMG its a Great phone at this price range and camera its superb both front and back camera is good and also good at low light performance..."
"Pretty good","very nice and avarage performance product. Daily use and PUBG gaming or other games is best quality/no lage on mobile. Display clarity is good.Camara clarity is avarage only.Thank you flipkart."
"Just okay","Awsome phone at this price. (6gb+128gb) versionPros, Phone speed - runs smoothly with a 6gb ram,Camera quality is good, face lock and fingerprint sensor works fastBattery - backup is good, last longer one day,Fast charging 18wGaming - PUBG runs smoothly no lagging at all. Overall good performanceCons, Didn't find muchIn PUBG gets little bit heat in high graphics, of course every phone does in a high frames."
"Super!","This phone is very nice. Now, it's price is very good but when I bought this phone it's price was little bit more But this phone is very very nice in this price. I suggest you to buy this phone I will give this 4.9999 (that is 5 ) out of 5."
"Nice product","Everything is good in this phone except the camera. Camera somewhere disappoints, as i am using oneplus 6 in comparison to that it disappoints. Except camera everything is as good as oneplus or iphone. Good job Xiaomi."
"Terrific purchase","Mobile is excellent and mobile look is awesome and this mobile i am using last 9 months overall mobile is good features are good and thanks to flipkart"
"Terrific purchase","Being a user of redmi note 8 , I humbly suggest all folks with an intention to reveal the secrets of redmi not 8. I m so impressed with the sound system and the camera etc, but I highly recommend that the phone is not the very best for playing games such as pubg and cod  etc. It normally working fine and the best  value for money."
"Just wow!","Very good, and beautiful colour"
"Slightly disappointed","Phone get heated very fast.. when its become heat it shows delay in process. But it have a good camera quality.. even it is 48pixel cam it doesn't feel a over weight.. not at all bad but it is not at all good  as said it in the promotion..."
"Terrific purchase","Thanks flipkart for delivered to fast"
"Worth every penny","Good"
"Good","Not worth for money.Just ok"
"Worth every penny","amazing ..I like so much .and very nice color and look .camera is  also very clear"
"Excellent","Camera Super quality camera Battery 4000,MAH  battery  % works good PerformanceSuper fast performance mobile Redmi Note 8DisplayDisplay are awesome Sound Sound are very very good and very loud speaker in this mobile GamesEvery game can play in high graphicsMi remote Mi remote also have in this mobile I love it this Redmi mobileTotally value for money this mobile"
"Good product with overall good experience.","Very Nice Looking, Speed is nice, battery quality also superb.No heating issue so far as read from other reviews.I am super happy with the product, and packing is good and delivered by EKart of Flipkart so seems secure to me."
"Excellent","OMG its a Great phone at this price range and camera its superb both front and back camera is good and also good at low light performance..."
"Pretty good","very nice and avarage performance product. Daily use and PUBG gaming or other games is best quality/no lage on mobile. Display clarity is good.Camara clarity is avarage only.Thank you flipkart."
"Just okay","Awsome phone at this price. (6gb+128gb) versionPros, Phone speed - runs smoothly with a 6gb ram,Camera quality is good, face lock and fingerprint sensor works fastBattery - backup is good, last longer one day,Fast charging 18wGaming - PUBG runs smoothly no lagging at all. Overall good performanceCons, Didn't find muchIn PUBG gets little bit heat in high graphics, of course every phone does in a high frames."
"Super!","This phone is very nice. Now, it's price is very good but when I bought this phone it's price was little bit more But this phone is very very nice in this price. I suggest you to buy this phone I will give this 4.9999 (that is 5 ) out of 5."
"Terrific purchase","Mobile is excellent and mobile look is awesome and this mobile i am using last 9 months overall mobile is good features are good and thanks to flipkart"
"Nice product","Everything is good in this phone except the camera. Camera somewhere disappoints, as i am using oneplus 6 in comparison to that it disappoints. Except camera everything is as good as oneplus or iphone. Good job Xiaomi."
"Terrific purchase","Being a user of redmi note 8 , I humbly suggest all folks with an intention to reveal the secrets of redmi not 8. I m so impressed with the sound system and the camera etc, but I highly recommend that the phone is not the very best for playing games such as pubg and cod  etc. It normally working fine and the best  value for money."
"Worth the money","This photo is awesome and little bit value for money this phone charger is  superb . Camra is good bur battery is not good"
"Fabulous!","Smooth performance ,nice camera ,value for money ,and very amazingly nice colour, spacialy moonlight white looking like a flagship phone."
"Just wow!","its amazing phone ...value for money , superb camera and battery quality . i would reffer to all must buy this product . it is safely packed and comes with a transparent cover,charger ....happy to get this thanku filpkart"
"Classy product","in this amount nice Mobile camara pakka bettery life also good good look nice smooth"
"Highly recommended","i give  to the looks ...its just awesome and performance ekdam badiya ..paisa wasoool guys go for it and white color looks just like ______( fill something best )"
"Fabulous!","Absolutely superb at this price!Pros: Best LCD screen I've used and it doesn't hurt my eyes. Awesome clarity and viewing angles.Good light photography, but don't expect too much from the Macro modeBattery lasts 1 and a half day on average use, charges ridiculously fast!Will get Android 10 and MIUI 11 updateSturdy build quality despite having glass on both backs. I'm using only a back cover and the Gorilla Glass 5 is enough for regular drops and slips, but use a tempered glass if you wa..."
"Brilliant","Very nice phone camera awesome processor is very good i am gift for my wife birthday and my wife so happy thanku flipkart value for money this phone is very nice"
"Mind-blowing purchase","Awesome camera giving clear sharp picturesBattery backup is also pretty good and display is very smooth and niceBut the price in flipkart is little more"
"Good choice","Very satisfied with this product. This is really a value for money product. Camera quality is just awesome like a DSLR. Display quality is awesome. Build quality is too good. Just one concern battery quality may be some better quality. But overall this phone is really a smartphone.I love it"
"Highly recommended","Awesome phone  camera are super perfect battery is too good"
"Terrific purchase","Really nice mobile and camera is glorious style ....."
"Nice product","This is a review after few days of usage of 6GB with 128GB model.Pros:1. Processor and RAM, ROM options are very nice.2. Front camera excellent.3. Pretty compact and comes handy.4. Gorilla glass on front and back.5. Android one, is best option. Comes with minimum changes to original Android.6. Nice color options, white is lovely.7. Adding 3.5mm jack which is not available in mi a2.8. IR blaster is very handy option to controll many devices in home.Cons:1. Display is 720p, not a g..."
"Must buy!","It an awesome phone from Xiaomi, with a stunning camera and look.........If anyone is thinking to buy this phone, please go for it......It one of the best phone in such a price range"
"Good choice","I'm a moto lover...1st time I go for mi phone...coz all the need fullfiled in A3      Best camera ..compact design..and stock Android...make it super    Display is good ...and not noticeable that it's not full HD ...moto g8+ is the best choice if display matters ..."
"Mind-blowing purchase","it's an awesome phone From mi, camera clicks awesome extrrem level and battery backup nice  if any one thinking to buy this phone, performance is good,it one of the best camera phone in such a price range... thanks flipcart "
"Moderate","Im giving two stars because this phone not fit to requirements google asistance feature not work properly, some feature is not available for this device, by default photos are to much bright also performance is low this phone taking too much time to open applications also fingerprint scanner taking more than a second to open some times,"
"Terrific","Yes, a value for money android phone. Xiaomi really provide good features such as Camera(you can really see the crisp image), Video quality really amazed me as you can shoot video in 1080p with 30fps and even you can shoot a 4k quality. If Xiaomi would have provided an amoled display in this price range it would be a perfect fit device. Rather than that it does not provide you a 18w fast charger you have to buy it separately. Gaming and file copying are really good at performance as it has 65..."
"Nice","Value for money ,it looks very premium & it's always good to get a pure Android experience . But display of this phone suck . My 4.5 years old Moto G3 has better display than this . a fast charger in the box would have been better . but still it's VFM"
"Awesome","Beautiful mobile.worth buing it....cam clarity is too good ....Fell in love with this cam.....overall very good performance.....just have it and njoy...."
"Highly recommended","So happy to see this,this is bought by my baby , gifted to me as my bday gift..so happy ..this is really good..thank you Flipkart "
"Worth every penny","Performance: The combination of 6 Gigs of RAM is enough for smooth running off essential apps. When heavy apps run smoothly. Display: The AMOLED display with HD ready resolution was a bit old fashioned due to pixels you notice, while switching from a phone with 1080p panel. But colors are a bit oversaturated. Battery: The upgrade from a 3500maH was noticable while using this device. AMOLED display and Low resolution gives a more backup to end one day with moderate usage. Charger: Mi inc..."
"Mind-blowing purchase","Nice phone coming from Redmi 4 ...Redmi note 7 is awesome...Pros1) Very good LTPS IPS Display Panel2)Best in terms of performance in this price range due to full clocked snapdragon 660 (You can play pubg smoothly throughout)3) Nice build quality and design (Really black looks more classic than other colors)4) Battery performance is just amazing 5) Type C port with qc4.06) Camera2API is by default enable (means u can install gcam right out of the box )7)Widewine L1 certification (mean..."
"Mind-blowing purchase","1) Display is nice. Full HD+ screen is very bright and Colors are accurate and crisp. 2) glass back feels premium. 3) notch is very tiny, it looks nice but as of now while writing this review miui has no option to hide the notch yet. I know many people would like to disable the notch. In future through software update may be Xiaomi would fix this.4) sound quality is okay. not great and not bad. 5) software : Android pie out of the box with miui 10.6) security patch level is of 5-1-2019 o..."
"Awesome","Best In Range Product! Splash Proof, Shock Proof as it comes with Gorrilla Glass 5 Protection, Awesome Looks, Preety Good Camera, I had Gifted 3 GB + 32 GB Model to my mother as a thanks giving gesture on womes day, she is happier than ever, its having good quality screen, also this notch display looks very cool & glass back design in this price gives very premium feel,Great In hand feel, Type-C Port with fast charging, It has everything We Need! A Complete package in very low prices a..."
"Terrific","Writing after 7 days of use. Thanks flipkart for faster delivery  Black colour is not that shines than other but look official. Device build is nice although front and back are gorilla glass protected and side bezels are plastic but not feels like plastic. Preinstalled camera app is garbage, Camera is excellent only if you use gcam port of pixel 3 xl, working perfectly for me. Display is bright and vibrant but in sunlight reflection is very high. Performance is very good because of good pro..."
"Very Good","Good mobile for this price. Pubg is running smoothly at HD it doesn't support HDR. Build quality is average in Camara depth of fild effects not great its total value for money. Battery life is good."
"Delightful","***pros***Price: best price with this configurationDesign: premium looksBattery: awesome backup + supports super fast charging (checked with Motorola fast charger)Ui: Easy and convenient UICamera: This phone is enough for camera lovers, No need of pro version which has a fake 48mpselfie camera: portrait shorts are super good and sharp images.***cons***I don't see any cons except the sound output of the phone which I didn't like as it was more of bass and less of stereo..But the..."
"Just wow!","Awesome phone by xiaomi.At this price point the specs are like god damn!!!!1.cam : it's more than average.the colours are bit more punchy n a decent sharpness.2. display : display is terrific. In this price range it's awesome. the viewing angles are good & the visibility under direct sunlight is really good.The sharp n contrasted display highlights the pictures.3. performance : The Snapdragon 660 takes all the heavy processing into ease.PuBg is like buttersmooth. Multitasking handles ..."
"Worth the money","After using 1 week things look positive and the best part is you can use Google Camera for better image processing.Battery life is awesome and the build quality is best in the budget. don't wait just grab it. Yes sometimes it get heated up while extensive gaming. overall it's the best phone. Redmi Note 7 >>>>>Realme 3"
"Good choice","Got it on the first day, fortunately I got it ordered.The biggest update on this phone is the usb type C port.First of all the phone looks quite premium with minimal bezels and sleek design. It's little bit slippery also. Phone boots quite fast.Though I am not a fan of MIUI but still it gets the job done.Camera takes very nice pictures, though I didnt like the portrait mode much.Didn't test the battery, but as per specs it should easily last a day and half on moderate usage.The display ..."
"Wonderful","this phone takes some really cool pics in the daylight. it works fast and gives a good battery life.  at this price range this would be best 1."
"Highly recommended","Here is my first impressions after a few days of usage of Redmi Note 7S mobile phone. I bought 4GB of RAM and 64GB storage variant. Pros: * The build quality of the Redmi Note 7S is great considering its price. The overall fit and finish is impeccable and all the metal and glass does make the Note 7S look and feel in hands a more premium phone. * It has corning gorilla glass 5 protection at the front as well as back.* The display sports a full HD+ (1080x2340 pixels) resolution and has a ..."
"Wonderful","very good mobile,never expected like this good one from Xiaomi, thank you to Flipkart, delivery was good and the delivery person is ,so good"
"Good choice","Camera: very good Battery : I expect betterSound. : is perfectly fine Overall performance everything is perfect from my part"
"Classy product"," it's just awesome. worth of money. people who look for all like cam, battery, Ram, ROM    price it's fit for that. it's closer to note 7,7pro 4gb ram because of just  small difference in , processor is 672 but 7s has 660 but costs 2000rs less. clock speed is 2.2GHZ in which 7pro has 2GHZ. Just 70min for full charge from 5-100%. Thank you Flipkart. All Rounder product. prefer black or white."
"Decent product","after using 8 day's my honest review.....Display: Very good qualityCamera: Rear camera at day light conditions very good but at low light conditions struggle in pictures.Front camera average...Battery: Good but not up to the mark in before 4000 mah some Xiaomi device.Gaming: I'm not game lover that's y no comments for gamin performance.Looks: Stunning. just look like a premium device.very disappointing for MIUI Adds..."
"Excellent","it's good , sound is good no issues like 5 pro.network is better than note 4 .camera is good even in night .but no use of 48 MP camera ."
"Classy product","Best Camera Set up with good Quality performance............Fast Delivery So Good ............ What a Mobile This is Redmi Is Best In The World Low Price But Features Are unbelievable In Low Price Good Redmi.......Keep It Up"
"Worth every penny","I am writing this review after use of this phone after 10 days.Camera: One of the best picture quality you can have in this price.Battery: Once completely charged, it gives service for around 17 hours which includes different multimedia applications.Performance: It's a bit lagging sometimes and hangs in between which I think should be fixed once few updates are provided.Display: The display is awesome and for sure rules over other smartphones provided in this range. The notch look add..."
"Really Nice","nice camera nice processor 660, very nice battery backup, nice optimiztion, value for money go for itt"
"Just wow!","I've Purchased this in 16th July 2019 and Got this on 20th July 2019 with Flipkart 6 Quality check Assured Mark.Look Awesome, Fingerprint Sensor Very Nice, Front Camera with Portrait can make you happy & rear camera which can be operate to 48 mp manually, awesome. Portrait Mode doing fabulous Job. Battery is average but with Android pie you can say this is good. ram and rom are enough for the purpose of use. This phone is for game lovers, official users, chatting lovers and selfie lovers to..."
"Delightful","mobile are good but back camera not gud but front camera super nice selfie and performance nice and i m happy to this"
"Great phone for less money.","Great phone for less money. Great in one word. Is in charge very soon. Camera pictures are great. However, the phone gets hot soon after playing the game."
"Excellent","Liked the phone, was just clicking selfie ever since, nice product, really nice battery backup, didn't play too much game on it so don't know, memory is good, everything fine"
"Must buy!","nice , its good front camera and good life of battery long lastingvery nice phone"
"Highly recommended","Very Good Mobile in good price range.  Nice service. Thank you flipkart."
"Terrific","a top class product in a reasonable price specially having a good selfie camera...however a nice phone for selfie lovers in a minimum price..!"
"Wonderful","Terrific product Received the product in time it working excellent the camera is extraordinary thank you flipkart"
"Nice product","At this price range the phone is amazing in camera, battery & performance. Those who love to take much selfies, this is the best one."
"Excellent","best phone in this price great selfie camera nd strong battery  worth buying"
"Slightly disappointed","delivery is very late front camera is very best and back camera is not good I am no I am not impressed"
"Nice product","This is a review after few days of usage of 6GB with 128GB model.Pros:1. Processor and RAM, ROM options are very nice.2. Front camera excellent.3. Pretty compact and comes handy.4. Gorilla glass on front and back.5. Android one, is best option. Comes with minimum changes to original Android.6. Nice color options, white is lovely.7. Adding 3.5mm jack which is not available in mi a2.8. IR blaster is very handy option to controll many devices in home.Cons:1. Display is 720p, not a g..."
"Good choice","I'm a moto lover...1st time I go for mi phone...coz all the need fullfiled in A3      Best camera ..compact design..and stock Android...make it super    Display is good ...and not noticeable that it's not full HD ...moto g8+ is the best choice if display matters ..."
"Must buy!","It an awesome phone from Xiaomi, with a stunning camera and look.........If anyone is thinking to buy this phone, please go for it......It one of the best phone in such a price range"
"Mind-blowing purchase","it's an awesome phone From mi, camera clicks awesome extrrem level and battery backup nice  if any one thinking to buy this phone, performance is good,it one of the best camera phone in such a price range... thanks flipcart "
"Moderate","Im giving two stars because this phone not fit to requirements google asistance feature not work properly, some feature is not available for this device, by default photos are to much bright also performance is low this phone taking too much time to open applications also fingerprint scanner taking more than a second to open some times,"
"Highly recommended","So happy to see this,this is bought by my baby , gifted to me as my bday gift..so happy ..this is really good..thank you Flipkart "
